keyword,language,type,date,expiry_date,attribute
Merkel,DE,CORE,2020-02-16,,person
Scholz,DE,CORE,2020-02-16,,person
Seehofer,DE,CORE,2020-02-16,,person
Maas,DE,CORE,2020-02-16,,person
Altmeier,DE,CORE,2020-02-16,,person
Lambrecht,DE,CORE,2020-02-16,,person
Heil,DE,CORE,2020-02-16,,person
Kramp-Karrenbauer,DE,CORE,2020-02-16,,person
Klöckner,DE,CORE,2020-02-16,,person
Giffey,DE,CORE,2020-02-16,,person
Spahn,DE,CORE,2020-02-16,,person
Scheuer,DE,CORE,2020-02-16,,person
Schulze,DE,CORE,2020-02-16,,person
Karliczek,DE,CORE,2020-02-16,,person
Müller,DE,CORE,2020-02-16,,person
Braun,DE,CORE,2020-02-16,,person
Walter-Borjans,DE,CORE,2020-02-16,,person
Esken,DE,CORE,2020-02-16,,person
Kretschmann,DE,CORE,2020-02-16,,person
Thunberg,DE,CORE,2020-02-16,,person
Klimakrise,DE,CORE,2020-02-16,,topic
Nachhaltigkeit,DE,CORE,2020-02-16,,topic
CDU,DE,CORE,2020-02-16,,party
SPD,DE,CORE,2020-02-16,,party
FDP,DE,CORE,2020-02-16,,party
Grüne,DE,CORE,2020-02-16,,party
AFD,DE,CORE,2020-02-16,,party
CSU,DE,CORE,2020-02-16,,party
Trump,DE,CORE,2020-02-16,,person
Deutschland,DE,CORE,2020-02-16,,country
China,DE,CORE,2020-02-16,,country
Berlin,DE,CORE,2020-02-16,,city
USA,DE,CORE,2020-02-16,,country
Europa,DE,CORE,2020-02-16,,country
EU,DE,CORE,2020-02-16,,organization
Ramelow,DE,CORE,2020-02-16,,person
Türkei,DE,CORE,2020-02-16,,country
Macron,DE,CORE,2020-02-16,,person
Frankreich,DE,CORE,2020-02-16,,country
Washington,DE,CORE,2020-02-16,,city
Großbritannien,DE,CORE,2020-02-16,,country
Japan,DE,CORE,2020-02-16,,country
Israel,DE,CORE,2020-02-16,,country
Erdogan,DE,CORE,2020-02-16,,person
Paris,DE,CORE,2020-02-16,,city
Moskau,DE,CORE,2020-02-16,,city
Ungarn,DE,CORE,2020-02-16,,country
Brüssel,DE,CORE,2020-02-16,,city
Italien,DE,CORE,2020-02-16,,country
London,DE,CORE,2020-02-16,,city
Russland,DE,CORE,2020-02-16,,country
Steinmeier,DE,CORE,2020-02-16,,person
Frankfurt,DE,CORE,2020-02-16,,city
Baden-Württemberg,DE,CORE,2020-02-16,,state
Franziskus,DE,CORE,2020-02-16,,person
Niederlande,DE,CORE,2020-02-16,,country
Peking,DE,CORE,2020-02-16,,city
Johnson,DE,CORE,2020-02-16,,person
Impeachment,DE,EXT,2020-02-25,,topic
Thüringen,DE,EXT,2020-02-25,,state
München,DE,EXT,2020-02-25,,city
Hamburg,DE,EXT,2020-02-25,,city
Merz,DE,EXT,2020-02-25,,person
Sanders,DE,EXT,2020-02-25,,person
Thoma,DE,EXT,2020-02-25,,person
Kemmerich,DE,EXT,2020-02-25,,person
Dresden,DE,EXT,2020-02-25,,city
Hampshire,DE,EXT,2020-02-25,,city
Hanau,DE,EXT,2020-02-25,,city
York,DE,EXT,2020-02-25,,city
Wuhan,DE,EXT,2020-02-25,,city
Laschet,DE,EXT,2020-02-25,,person
Barr,DE,EXT,2020-02-25,,person
Bloomberg,DE,EXT,2020-02-25,,person
Bayer,DE,EXT,2020-02-25,,company
Schulz,DE,EXT,2020-02-25,,person
Huawei,DE,EXT,2020-02-25,,company
Roschinski,DE,EXT,2020-02-25,,person
Mohring,DE,EXT,2020-02-25,,person
Taiwan,DE,EXT,2020-02-25,,country
Libyen,DE,EXT,2020-02-25,,country
Amazon,DE,EXT,2020-02-25,,company
Idlib,DE,EXT,2020-02-25,,city
Covid-19,DE,EXT,2020-02-25,,topic
Tesla,DE,EXT,2020-02-25,,company
Pepsi,DE,EXT,2020-02-25,,company
Erfurt,DE,EXT,2020-02-25,,city
WHO,DE,EXT,2020-02-25,,organization
Uganda,DE,EXT,2020-02-25,,country
Griveaux,DE,EXT,2020-02-25,,person
Klinsmann,DE,EXT,2020-02-25,,person
Kirsch,DE,EXT,2020-02-25,,person
Söder,DE,EXT,2020-02-25,,person
Syrien,DE,EXT,2020-02-25,,country
Hubei,DE,EXT,2020-02-25,,state
Hicks,DE,EXT,2020-02-25,,person
Nordrhein-Westfalen,DE,EXT,2020-02-25,,state
Sander,DE,EXT,2020-02-25,,person
Philipe,DE,EXT,2020-02-25,,person
Carlin,DE,EXT,2020-02-25,,person
Iran,DE,EXT,2020-02-25,,country
Michel,DE,EXT,2020-02-25,,person
McDonald,DE,EXT,2020-02-25,,company
Coronavirus,DE,EXT,2020-02-25,,topic
Fegebank,DE,EXT,2020-02-25,,person
Google,DE,EXT,2020-02-25,,company
Manchester,DE,EXT,2020-02-25,,city
Civey,DE,EXT,2020-02-25,,company
